Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"IxKW1-E9_3","IX9.3",Boolean,1,R/W,100,,,,,,,,,,"Reserve",
"IxKW2-1A0/2","IX12.3",Boolean,1,R/W,100,,,,,,,,,,"Reserve",
"IxKW2-1A0/4","IX12.2",Boolean,1,R/W,100,,,,,,,,,,"Czujnik frezowania R2",
"IxKW2-1A0:1/2","IX11.1",Boolean,1,R/W,100,,,,,,,,,,"Kappenfüllstand min",
"IxKW2-1A0:1/4","IX11.0",Boolean,1,R/W,100,,,,,,,,,,"Kappenfüllstand",
"IxKW2-1A0:2/2","IX11.3",Boolean,1,R/W,100,,,,,,,,,,"Trennschieber auf",
"IxKW2-1A0:2/4","IX11.2",Boolean,1,R/W,100,,,,,,,,,,"Kontrolle Kappenaufnahme",
"IxKW2-1A0:3/2","IX12.1",Boolean,1,R/W,100,,,,,,,,,,"Drehabfrage",
"IxKW2-1A0:3/4","IX12.0",Boolean,1,R/W,100,,,,,,,,,,"Trennschieber zu",
"IxR1A100","IX409.3",Boolean,1,R/W,100,,,,,,,,,,"R1: Programmschritt <- Bit 3",
"IxR1A101","IX409.4",Boolean,1,R/W,100,,,,,,,,,,"R1: Programmschritt <- Bit 4",
"IxR1A102","IX409.5",Boolean,1,R/W,100,,,,,,,,,,"R1: Programmschritt <- Bit 5",
"IxR1A103","IX409.6",Boolean,1,R/W,100,,,,,,,,,,"R1: Programmschritt <- Bit 6",
"IxR1A104","IX409.7",Boolean,1,R/W,100,,,,,,,,,,"R1: Programmschritt <- Bit 7",
"IxR1A105","IX410.0",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 1 Auf",
"IxR1A106","IX410.1",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 1 Zu",
"IxR1A107","IX410.2",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 2 Auf",
"IxR1A108","IX410.3",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 2 Zu",
"IxR1A109","IX410.4",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 3 Auf",
"IxR1A110","IX410.5",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 3 Zu",
"IxR1A111","IX410.6",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 4 Auf",
"IxR1A112","IX410.7",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 4 Zu",
"IxR1A113","IX411.0",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 5 Auf",
"IxR1A114","IX411.1",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 5 Zu",
"IxR1A115","IX411.2",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 6 Auf",
"IxR1A116","IX411.3",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 6 Zu",
"IxR1A117","IX411.4",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 7 Auf",
"IxR1A118","IX411.5",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 7 Zu",
"IxR1A119","IX411.6",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 8 Auf",
"IxR1A120","IX411.7",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 8 Zu",
"IxR1A121","IX412.0",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 9 Auf",
"IxR1A122","IX412.1",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 9 Zu",
"IxR1A123","IX412.2",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 10 Auf",
"IxR1A124","IX412.3",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 10 Zu",
"IxR1A125","IX412.4",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 11 Auf",
"IxR1A126","IX412.5",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 11 Zu",
"IxR1A127","IX412.6",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 12 Auf",
"IxR1A128","IX412.7",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 12 Zu",
"IxR1A129","IX413.0",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 13 Auf",
"IxR1A130","IX413.1",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 13 Zu",
"IxR1A131","IX413.2",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 14 Auf",
"IxR1A132","IX413.3",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 14 Zu",
"IxR1A133","IX413.4",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 15 Auf",
"IxR1A134","IX413.5",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 15 Zu",
"IxR1A135","IX413.6",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 16 Auf",
"IxR1A136","IX413.7",Boolean,1,R/W,100,,,,,,,,,,"R1 Gruppe 16 Zu",
"IxR1A137","IX414.0",Boolean,1,R/W,100,,,,,,,,,,"R1 Vorrichtung  Drucklos schalten",
"IxR1A138","IX414.1",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A139","IX414.2",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A140","IX414.3",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A141","IX414.4",Boolean,1,R/W,100,,,,,,,,,,"R1 Bearbeitung OP1",
"IxR1A142","IX414.5",Boolean,1,R/W,100,,,,,,,,,,"R1 Bearbeitung OP2",
"IxR1A143","IX414.6",Boolean,1,R/W,100,,,,,,,,,,"R1 Bearbeitung OP3",
"IxR1A144","IX414.7",Boolean,1,R/W,100,,,,,,,,,,"R1 Bearbeitung OP4",
"IxR1A145","IX415.0",Boolean,1,R/W,100,,,,,,,,,,"R1 Blad frezowania",
"IxR1A146","IX415.1",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A147","IX415.2",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A148","IX415.3",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A149","IX415.4",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A150","IX415.5",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A151","IX415.6",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A152","IX415.7",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A25","IX400.0",Boolean,1,R/W,100,,,,,,,,,,"R1:",
"IxR1A26","IX400.1",Boolean,1,R/W,100,,,,,,,,,,"R1:",
"IxR1A27","IX400.2",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A28","IX400.3",Boolean,1,R/W,100,,,,,,,,,,"R1: Freigabe Wender von Arbeitsraumüberwachung",
"IxR1A29","IX400.4",Boolean,1,R/W,100,,,,,,,,,,"R1: Achse 8 in Einlegeposition",
"IxR1A30","IX400.5",Boolean,1,R/W,100,,,,,,,,,,"R1: Betriebsart Auto (Schalter)",
"IxR1A31","IX400.6",Boolean,1,R/W,100,,,,,,,,,,"R1: Betriebsart Auto Extern (Schalter)",
"IxR1A32Near_PosRet","IX400.7",Boolean,1,R/W,100,,,,,,,,,,"R1: Istpos nahe Sollpos",
"IxR1A33","IX401.0",Boolean,1,R/W,100,,,,,,,,,,"R1: Störung Bit 1",
"IxR1A34","IX401.1",Boolean,1,R/W,100,,,,,,,,,,"R1: Störung Bit 2",
"IxR1A35","IX401.2",Boolean,1,R/W,100,,,,,,,,,,"R1: Störung Bit 3",
"IxR1A36","IX401.3",Boolean,1,R/W,100,,,,,,,,,,"R1: Störung Bit 4",
"IxR1A37","IX401.4",Boolean,1,R/W,100,,,,,,,,,,"R1: Störung Bit 5",
"IxR1A38T1","IX401.5",Boolean,1,R/W,100,,,,,,,,,,"R1: Betriebsart T1",
"IxR1A39T2","IX401.6",Boolean,1,R/W,100,,,,,,,,,,"R1: Betriebsart T2",
"IxR1A40Io_Act_Conf","IX401.7",Boolean,1,R/W,100,,,,,,,,,,"R1: Betriebsart Extern u. Bereit",
"IxR1A41PgnoBit0","IX402.0",Boolean,1,R/W,100,,,,,,,,,,"R1: Bit 0 (1) Programmnummer",
"IxR1A42PgnoBit1","IX402.1",Boolean,1,R/W,100,,,,,,,,,,"R1: Bit 1 (2) Programmnummer",
"IxR1A43PgnoBit2","IX402.2",Boolean,1,R/W,100,,,,,,,,,,"R1: Bit 2 (4) Programmnummer",
"IxR1A44PgnoBit3","IX402.3",Boolean,1,R/W,100,,,,,,,,,,"R1: Bit 3 (8) Programmnummer",
"IxR1A45PgnoBit4","IX402.4",Boolean,1,R/W,100,,,,,,,,,,"R1: Bit 4 (16) Programmnummer",
"IxR1A46PgnoBit5","IX402.5",Boolean,1,R/W,100,,,,,,,,,,"R1: Bit 5 (32) Programmnummer",
"IxR1A47PgnoBit6","IX402.6",Boolean,1,R/W,100,,,,,,,,,,"R1: Bit 6 (64) Programmnummer",
"IxR1A48PgnoBit7","IX402.7",Boolean,1,R/W,100,,,,,,,,,,"R1: Bit7 (128) Programmnummer",
"IxR1A49On_Path","IX403.0",Boolean,1,R/W,100,,,,,,,,,,"R1: Roboter auf programierter Bahn",
"IxR1A50User_Saf","IX403.1",Boolean,1,R/W,100,,,,,,,,,,"R1: Bedienersicherheit",
"IxR1A51Alarm_Stop","IX403.2",Boolean,1,R/W,100,,,,,,,,,,"R1: Alarm Stop",
"IxR1A52Peri_Ready","IX403.3",Boolean,1,R/W,100,,,,,,,,,,"R1: Antriebe ein",
"IxR1A53Stop_Mess","IX403.4",Boolean,1,R/W,100,,,,,,,,,,"R1: Störung",
"IxR1A54Pro_Act","IX403.5",Boolean,1,R/W,100,,,,,,,,,,"R1: Prozess aktiv",
"IxR1A55Pgno_Req","IX403.6",Boolean,1,R/W,100,,,,,,,,,,"R1: Programmanforderung",
"IxR1A56Appl_Run","IX403.7",Boolean,1,R/W,100,,,,,,,,,,"R1: Applikation läuft/aktiv",
"IxR1A57Error_PLC","IX404.0",Boolean,1,R/W,100,,,,,,,,,,"R1: Störung zu SPS",
"IxR1A58In_Home","IX404.1",Boolean,1,R/W,100,,,,,,,,,,"R1: Home-Position",
"IxR1A59","IX404.2",Boolean,1,R/W,100,,,,,,,,,,"R1: Reset Kappenfraesen",
"IxR1A60","IX404.3",Boolean,1,R/W,100,,,,,,,,,,"R1: Reset Kappenwechsel",
"IxR1A61","IX404.4",Boolean,1,R/W,100,,,,,,,,,,"R1 Fehler Schweißen",
"IxR1A62","IX404.5",Boolean,1,R/W,100,,,,,,,,,,"R1: Schweißen fertig",
"IxR1A63","IX404.6",Boolean,1,R/W,100,,,,,,,,,,"R1: Position Kappenwechsel",
"IxR1A64","IX404.7",Boolean,1,R/W,100,,,,,,,,,,"R1: Fk Schweissquelle steht an",
"IxR1A65","IX405.0",Boolean,1,R/W,100,,,,,,,,,,"R1: Meldung Schweissfehler Roboter steht an",
"IxR1A66","IX405.1",Boolean,1,R/W,100,,,,,,,,,,"R1: Steuerung Ein",
"IxR1A67","IX405.2",Boolean,1,R/W,100,,,,,,,,,,"R1: Roboter justiert",
"IxR1A68","IX405.3",Boolean,1,R/W,100,,,,,,,,,,"R1: Interner Not-Aus",
"IxR1A69","IX405.4",Boolean,1,R/W,100,,,,,,,,,,"R1: Programmbewegung Aktiv",
"IxR1A70","IX405.5",Boolean,1,R/W,100,,,,,,,,,,"R1: Roboter nicht in Bewegung",
"IxR1A71","IX405.6",Boolean,1,R/W,100,,,,,,,,,,"R1: Vorrichtung öffnen",
"IxR1A72","IX405.7",Boolean,1,R/W,100,,,,,,,,,,"R1 Schweißsteuerung bereit",
"IxR1A73","IX406.0",Boolean,1,R/W,100,,,,,,,,,,"R1: Anforderung Kolisionsbereich 1 einfahren R2",
"IxR1A74","IX406.1",Boolean,1,R/W,100,,,,,,,,,,"R1: In Kollisionsbereich 1 R2",
"IxR1A75","IX406.2",Boolean,1,R/W,100,,,,,,,,,,"R1: Anforderung in Kollisionsbereich 2 einfahren R2",
"IxR1A76","IX406.3",Boolean,1,R/W,100,,,,,,,,,,"R1: In Kollisionsbereich 2 R2",
"IxR1A77","IX406.4",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A78","IX406.5",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A79","IX406.6",Boolean,1,R/W,100,,,,,,,,,,"R1: Anforerung Bremsentest",
"IxR1A80","IX406.7",Boolean,1,R/W,100,,,,,,,,,,"R1: Warnung Bremse defekt",
"IxR1A81","IX407.0",Boolean,1,R/W,100,,,,,,,,,,"R1: Kappenfraesen ein",
"IxR1A82","IX407.1",Boolean,1,R/W,100,,,,,,,,,,"R1: Ausblasen ein",
"IxR1A83","IX407.2",Boolean,1,R/W,100,,,,,,,,,,"R1: Kappenwechsler Zylinder auf",
"IxR1A84","IX407.3",Boolean,1,R/W,100,,,,,,,,,,"R1: Kappenwechsler Zylinder zu",
"IxR1A85","IX407.4",Boolean,1,R/W,100,,,,,,,,,,"R1: Anforderung Kappenfraesen",
"IxR1A86","IX407.5",Boolean,1,R/W,100,,,,,,,,,,"R1: Vorwarnung Standmenge erreicht",
"IxR1A87","IX407.6",Boolean,1,R/W,100,,,,,,,,,,"R1: Standmenge erreicht",
"IxR1A88","IX407.7",Boolean,1,R/W,100,,,,,,,,,,"R1",
"IxR1A89","IX408.0",Boolean,1,R/W,100,,,,,,,,,,"R1: Punktnummer Bit 0",
"IxR1A90","IX408.1",Boolean,1,R/W,100,,,,,,,,,,"R1: Punktnummer Bit 1",
"IxR1A91","IX408.2",Boolean,1,R/W,100,,,,,,,,,,"R1: Punktnummer Bit 2",
"IxR1A92","IX408.3",Boolean,1,R/W,100,,,,,,,,,,"R1: Punktnummer Bit 3",
"IxR1A93","IX408.4",Boolean,1,R/W,100,,,,,,,,,,"R1: Punktnummer Bit 4",
"IxR1A94","IX408.5",Boolean,1,R/W,100,,,,,,,,,,"R1: Punktnummer Bit 5",
"IxR1A95","IX408.6",Boolean,1,R/W,100,,,,,,,,,,"R1: Punktnummer Bit 6",
"IxR1A96","IX408.7",Boolean,1,R/W,100,,,,,,,,,,"R1: Punktnummer Bit 7",
"IxR1A97","IX409.0",Boolean,1,R/W,100,,,,,,,,,,"R1: Programmschritt <- Bit 0",
"IxR1A98","IX409.1",Boolean,1,R/W,100,,,,,,,,,,"R1: Programmschritt <- Bit 1",
"IxR1A99","IX409.2",Boolean,1,R/W,100,,,,,,,,,,"R1: Programmschritt <- Bit 2",
"IxR1S_AF","IX300.1",Boolean,1,R/W,100,,,,,,,,,,"R1_S: Freigabe Antriebe ein",
"IxR1S_AUT","IX300.5",Boolean,1,R/W,100,,,,,,,,,,"R1_S: Automatik-Betriebsart AUT oder EXT",
"IxR1S_B0_4","IX300.4",Boolean,1,R/W,100,,,,,,,,,,"R1_S:",
"IxR1S_B1_4","IX301.4",Boolean,1,R/W,100,,,,,,,,,,"R1_S:",
"IxR1S_B1_5","IX301.5",Boolean,1,R/W,100,,,,,,,,,,"R1_S:",
"IxR1S_B2_6","IX302.6",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B2_7","IX302.7",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B3_0","IX303.0",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B3_1","IX303.1",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B3_2","IX303.2",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B3_3","IX303.3",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B3_4","IX303.4",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B3_5","IX303.5",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B3_6","IX303.6",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B3_7","IX303.7",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B6_0","IX306.0",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B6_1","IX306.1",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B6_2","IX306.2",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B6_3","IX306.3",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B6_4","IX306.4",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B6_5","IX306.5",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B6_6","IX306.6",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B6_7","IX306.7",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B7_0","IX307.0",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B7_1","IX307.1",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B7_2","IX307.2",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B7_3","IX307.3",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B7_4","IX307.4",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B7_5","IX307.5",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B7_6","IX307.6",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_B7_7","IX307.7",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option",
"IxR1S_Bedienerschutz","IX301.1",Boolean,1,R/W,100,,,,,,,,,,"R1_S: Bedienerschutz",
"IxR1S_FF","IX300.2",Boolean,1,R/W,100,,,,,,,,,,"R1_S: Fahrfreigabe",
"IxR1S_JF","IX302.2",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Justagefehler",
"IxR1S_MR1","IX304.0",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Melderaum 1 Dretisch bei 0 Grad",
"IxR1S_MR10","IX305.1",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 10",
"IxR1S_MR11","IX305.2",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 11",
"IxR1S_MR12","IX305.3",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 12",
"IxR1S_MR13","IX305.4",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 13",
"IxR1S_MR14","IX305.5",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 14",
"IxR1S_MR15","IX305.6",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 15",
"IxR1S_MR16","IX305.7",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 16",
"IxR1S_MR2","IX304.1",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Melderaum 2 Drehtisch bei 180 Grad",
"IxR1S_MR3","IX304.2",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 3",
"IxR1S_MR4","IX304.3",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 4",
"IxR1S_MR5","IX304.4",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 5",
"IxR1S_MR6","IX304.5",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 6",
"IxR1S_MR7","IX304.6",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 7",
"IxR1S_MR8","IX304.7",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 8",
"IxR1S_MR9","IX305.0",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Melderaum 9",
"IxR1S_NHE","IX301.0",Boolean,1,R/W,100,,,,,,,,,,"R1_S:  Externer Not-Halt",
"IxR1S_NHL","IX300.0",Boolean,1,R/W,100,,,,,,,,,,"R1_S: Lokaler NOT-HALT",
"IxR1S_PSA","IX301.6",Boolean,1,R/W,100,,,,,,,,,,"R1_S: Aktivität der Profisafe-Schnittstelle",
"IxR1S_RR","IX302.1",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Roboter ist referenziert",
"IxR1S_SBH1","IX302.4",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Sicherer Betriebshalt Achsgruppe 1",
"IxR1S_SBH2","IX302.5",Boolean,1,R/W,100,,,,,,,,,,"R1_S: PS-Option Sicherer Betriebshalt Achsgruppe 2",
"IxR1S_SHS1","IX301.2",Boolean,1,R/W,100,,,,,,,,,,"R1_S: Sicherheitshalt Stopp 1",
"IxR1S_SHS2","IX301.3",Boolean,1,R/W,100,,,,,,,,,,"R1_S: Sicherheitshalt Stopp 2",
